‎‪1;0;לא;כן;האם למשולש יש 3 צלעות ‬
‎‪2;0;לא;כן;האם למרובע יש 4 צלעות 
‎‪3;0;לא;כן;האם למחומש יש 5 צלעות ‬
‎‪4;0;לא;כן;האם למשושה יש 6 צלעות ‬
‎‪5;0;לא;כן;האם למלבן יש 4 צלעות ‬
‎‪6;0;לא;כן;האם במלבן כל הזוויות שוות‬
‎‪7;0;כן;לא;האם במשולש כל הזוויות שוות‬
‎‪8;0;לא;כן;האם במעויין יש 4 צלעות ‬
‎‪9;0;כן;לא;האם במעוין כל הזויות שוות‬
‎10;0;לא;כן;האם בדלתון קיימות זוג צלעות שוות  ‬
11;1;שלוש מאות שישים מעלות;מאה חמישים מעלות;מאה שמונים מעלות;סכום הזוויות במשולש הוא
12;1;שבע מאות עשרים;מאה שמונים;שלוש מאות שישים;סכום הזוויות במרובע
13;1;שלוש;שתיים;אחת;כמה זוויות ישרות ישנן במשולש ישר זווית
14;1;שלוש;שתיים;ארבע;כמה זוויות ישרות ישנן בריבוע
15;1;שלושים;שבעים;שישים;במשולש שווה צלעות,מה גודלה של כל זווית
16;1;שלוש;שתיים;ארבע;כמה זוויות ישרות במלבן
17;1;שתיים;אחת;אפס;כמה זוויות ישרות יש במשולש שווה צלעות
18;1;חמישים;שמונים;תשעים;גודלן של הזוויות במלבן הם
19;1;שלוש;אחת;שתיים;כמה זוויות ישרות יש בטרפז ישר זווית
20;1;שתיים;אחת;אפס;כמה זוויות ישרות יש בעיגול
21;2;לא;כן;האם הצורה הבאה היא משולש ישר זווית;Num21Right_Triangle.jpeg
22;2;כן;לא;האם הצורה הבאה היא משולש שווה צלעות;Num22Nanogon.jpeg
23;2;לא;כן;האם הצורה הבאה היא ריבוע;Num23Square.jpeg
24;2;כן;לא;האם הצורה הבאה היא מלבן;Num24Kite.jpeg
25;2;כן;לא;האם הצורה הבאה היא עיגול;Num25Decagon.jpeg
26;2;לא;כן;האם הצורה הבאה היא אליפסה;Num26Ellipse.jpeg
27;2;כן;לא;האם הצורה הבאה היא טרפז;Num27Pentagon.jpeg
28;2;לא;כן;האם הצורה הבאה היא מעויין;Num28Rhombus.jpeg
29;2;כן;לא;האם הצורה הבאה היא מחומש;Num29Star.jpeg
30;3;בחרו את המשולש הקהה זווית;Num30Scalene_Triangle.jpeg;Num30ETriangle.jpg;Num30Kite.jpeg
31;3;בחרו את הצורה שאיננה מרובע;Num31Star.jpeg;Num31Square.jpeg;Num31Rhombus.jpeg
32;3;מי מהבאים הוא כוכב;Num32Star.jpeg;Num32Triangle.jpeg;Num32Nanogon.jpeg
33;3;למי מהצורות הבאות אין פינות;Num33Ellipse.jpeg;Num33Decagon.jpeg;Num33Hexagon.jpeg
34;3;בחר את הצורה ללא זווית ישרה;Num34Kite.jpeg;Num34Square.jpeg;Num34Right_Triangle.jpeg
35;3;בחרו צורה בעלת 5 צלעות;Num35Pentagon.jpeg;Num35Hexagon.jpeg;Num35Heptagon.jpeg
36;3;באיזה מהצורות הבאות סכום הזוויות הוא הגדול ביותר;Num36Kite.jpeg;Num36Right_Triangle.jpeg;Num36Triangle.jpeg
37;3;בחר צורה שיש לה זוג צלעות מקבילות;Num37Parallelogram.jpeg;Num37ETriangle.jpg;Num37Ellipse.jpeg
38;3;בחר את הצורה שהיא מקבילית;Num38Parallelogram.jpeg;Num38Decagon.jpeg;Num38Kite.jpeg
39;3;בחר את הצורה שהיא מרובע שווה צלעות;Num39Square.jpeg;Num39Rectangle.jpeg;Num39Kite.jpeg
40;3;בחר את הצורה הסימטרית ביותר;Num40Circle.jpeg;Num40Ellipse.jpeg;Num40Kite.jpeg
